asset_id,trade_date,close,direction,status,b,atr14,delta,delta_source,structure_multiple,zone_low,zone_high,invalidation,distance_to_b_atr,signed_distance_to_b_atr,t1,t2,t3,ema_fast,ema_slow,history_rows,data_status,data_note,price_source
i,2026-09-22,708.0,short,接近触发,704.5,11.432103513985002,47.0,历史结构位,4.111229393829793,698.7839482430074,707.3580258784963,745.0,0.3061553803915803,-0.3061553803915803,657.5,610.5,563.5,717.6516755316047,728.395531866528,3146,verified,结构完整,akshare_sina
lc,2026-09-22,134400.0,short,等待,124020.0,6182.981726923564,32900.0,历史结构位,5.321057291296556,120928.50913653822,125565.74543173089,144700.0,1.678801662117272,-1.678801662117272,91120.0,58220.0,25320.0,138954.50553192268,147682.85053519506,771,verified,结构完整,akshare_sina
cc,2026-09-22,5402.0,long,等待,6675.0,232.1181754685542,969.0,历史结构位,4.174597693799612,6616.970456132862,6791.059087734277,5242.0,5.484275401658314,-5.484275401658314,7644.0,8613.0,9582.0,5809.795406615697,5562.0641344555825,1256,warning,24日结算价在成交区间外,yahoo
kc,2026-09-22,272.29998779296875,short,进入候选区,274.25,9.128907517588656,32.94999694824219,历史结构位,3.609412942869392,269.68554624120566,276.5322268793972,319.20001220703125,0.21360849622741424,0.21360849622741424,241.3000030517578,208.35000610351562,175.40000915527344,310.63327242170226,318.7796105631674,1257,warning,32日结算价在成交区间外,yahoo
sr,2026-09-22,5350.0,long,等待,5510.0,49.48044451521726,300.0,历史结构位,6.063001311714929,5497.629888871195,5534.740222257608,5305.0,3.2336006995812956,-3.2336006995812956,5810.0,6110.0,6410.0,5370.681552333965,5330.732534329558,5029,verified,结构完整,akshare_sina
cl,2026-09-22,94.58999633789062,long,等待,106.75,4.491080987646158,22.45540493823079,5×ATR回退,,105.62722975308846,108.99554049382309,90.87000274658203,2.707589485818338,-2.707589485818338,129.2054049382308,151.66080987646157,174.11621481469237,94.87137347835898,88.78484216244856,1256,verified,结构完整,yahoo
brn,2026-09-22,99.25,long,等待,110.19000244140625,4.4184167955057,15.909996032714844,历史结构位,3.600836401151218,109.08539824252982,112.3992108391591,95.97000122070312,2.4760005557950393,-2.4760005557950393,126.0999984741211,142.00999450683594,157.91999053955078,99.39780924061114,93.68727588044315,1257,verified,结构完整,yahoo
ng,2026-09-22,2.9649999141693115,short,等待,2.696000099182129,0.10827724265729649,0.4960000514984131,历史结构位,4.580833786729136,2.641861477853481,2.723069409846453,3.0139999389648438,2.4843615185010024,-2.4843615185010024,2.200000047683716,1.7039999961853027,1.2079999446868896,2.879211148486939,2.8927779297199265,1257,warning,1次异常跳变,yahoo
dx,2026-09-21,100.43000030517578,short,等待,98.55999755859375,0.4321672595745068,2.1800003051757812,历史结构位,5.04434395914701,98.3439139288065,98.66803937348737,100.55999755859375,4.32703474211155,-4.32703474211155,96.37999725341797,94.19999694824219,92.0199966430664,99.66448722173396,99.76498575891915,1255,verified,结构完整,yahoo
zs,2026-09-22,1325.5,long,接近触发,1332.25,19.382670671411518,96.91335335705759,5×ATR回退,,1327.404332332147,1341.9413353357058,1280.25,0.3482492229492356,-0.3482492229492356,1429.1633533570575,1526.076706714115,1622.9900600711728,1289.9105523254977,1236.9771889624164,1255,verified,结构完整,yahoo
btc,2026-09-22,86172.28125,long,接近触发,87363.7578125,2415.4632868521676,10496.84375,历史结构位,4.34568548697732,86759.89199078696,88571.48945592609,74944.59375,0.49327040861495874,-0.49327040861495874,97860.6015625,108357.4453125,118854.2890625,79480.37095944045,74503.14395336976,1826,verified,结构完整,yahoo
eth,2026-09-22,2752.632568359375,long,等待,2805.4990234375,99.9359937344818,498.064453125,历史结构位,4.983834497591516,2780.5150250038796,2855.467020304741,2357.959228515625,0.5290031459394396,-0.5290031459394396,3303.5634765625,3801.6279296875,4299.6923828125,2535.622838275571,2311.212752600436,1826,verified,结构完整,yahoo
